rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,validation_sharpe,validation_balanced_accuracy,oos_sharpe
2000-05-26,12,0.48,0.67,0.8972301579213637,0.6417857596089684,0.0
2000-11-27,8,0.45,0.7,0.33343807459173136,0.6413223140495867,0.5217313430647372
2001-05-29,12,0.5,0.67,0.7731536321564941,0.6475783696030304,0.0
2001-11-29,8,0.45,0.65,-0.09332710381950807,0.6588286840952242,-1.1842496630819093
2002-05-29,12,0.49,0.67,0.4683374013954719,0.5806571725621993,0.0
2002-11-29,12,0.45,0.67,0.22168152587056575,0.5714075338704686,-0.4356571548410732
2003-05-29,8,0.45,0.66,-0.468861170885318,0.5828499928645695,0.7935003636712425
2003-12-01,8,0.5,0.66,-0.006406094655762532,0.6636033069812037,0.07532511367232922
2004-06-01,12,0.45,0.67,0.16740005431453406,0.6915948515155915,0.2424864021631509
2004-12-01,12,0.45,0.67,0.18846630097819284,0.6985489567406955,-0.5886552454690777
2005-06-01,12,0.45,0.67,0.21332475722773298,0.6949581262616845,-0.6058060669865852
2005-12-01,12,0.46,0.65,0.4437359056030314,0.6947532477979326,0.05529139632736759
2006-06-01,12,0.46,0.65,0.4534924062944974,0.6719062701576223,2.5150976139519794
2006-12-01,0,0.48,0.65,0.40756622388032143,0.87456470629828,1.0522689688322626
2007-06-01,0,0.47,0.69,0.5411536904399737,0.882833253702819,-2.8521797333726013
2007-12-03,4,0.48,0.65,0.1879435086557302,0.7627665711127845,-0.21320295101325593
2008-06-03,8,0.48,0.67,-0.08335280174993223,0.70024161884627,0.0
2008-12-03,8,0.47,0.67,-0.06556839346945824,0.749270866902997,1.9099984135290962
2009-06-03,8,0.47,0.66,0.4831934440405107,0.779660948747973,2.1197145759253884
2009-12-03,8,0.47,0.65,0.77109336360999,0.7962188873362093,-0.19110636338635564
2010-06-03,8,0.49,0.65,0.7313064870479614,0.7993178287046028,0.798829399957747
2010-12-03,4,0.45,0.66,0.7154877779086682,0.8272292161042513,0.5895349370156878
2011-06-03,4,0.45,0.66,0.7067255277530498,0.8189402751594401,-0.9053712698506899
2011-12-05,0,0.46,0.65,0.5170971771885862,0.8981353272408381,0.6921982155987308
2012-06-05,4,0.45,0.65,0.7489925017114862,0.8260285639412999,0.7221724564513169
2012-12-05,4,0.45,0.65,0.8917949280673168,0.7873360410147147,2.8784393989294026
2013-06-05,4,0.45,0.65,1.0030687754364085,0.7609355309001952,0.7515166446404227
2013-12-05,4,0.47,0.65,0.9380630731235803,0.7680655399855154,0.30227952262790336
2014-06-05,12,0.47,0.7,1.1670101403245228,0.6860144485144486,-0.21721936831506375
2014-12-05,4,0.45,0.65,0.7289704651129724,0.7456652717025571,-2.225457092280974
2015-06-05,8,0.47,0.65,0.4901069911034834,0.663984778472411,0.6502340529874333
2015-12-07,12,0.47,0.66,0.9116465664516702,0.6177881170280286,1.3725051042767902
2016-06-07,12,0.47,0.65,0.9004674367807733,0.6327133286318759,0.20119364183082455
2016-12-07,12,0.47,0.65,0.9290719947705932,0.615511098931214,2.5304243114256058
2017-06-07,12,0.47,0.65,0.822632509940274,0.6192246060713967,2.4589736536072224
2017-12-07,12,0.48,0.66,0.952635692715396,0.6522572665429809,0.4133523163256425
2018-06-07,12,0.48,0.66,0.7003607218382344,0.6595036812224148,-0.4544055995343282
2018-12-07,12,0.45,0.65,0.6645241163133436,0.6733918128654971,0.04025958070219691
2019-06-07,12,0.5,0.65,0.6691078652492763,0.7143693527567767,0.42394993297453953
2019-12-09,8,0.47,0.68,1.0854912906296217,0.7287507837676257,0.35740597397076207
2020-06-09,8,0.5,0.69,0.9257958943219886,0.7301893894369824,0.19551665566943166
2020-12-09,0,0.48,0.67,0.9269485080994087,0.8809715565333542,1.7188169907168787
2021-06-09,8,0.5,0.68,0.9231586445766186,0.7264263149882013,1.0277106797440152
2021-12-09,8,0.46,0.67,0.9012889289286607,0.695703740337766,-1.079296053956523
2022-06-09,0,0.48,0.7,1.0678863160719487,0.8864769082192253,-0.1282688881623942
2022-12-09,0,0.45,0.7,0.8744038291917824,0.885945442680732,0.07091142416532276
2023-06-09,0,0.48,0.7,0.6971560438695307,0.8779307165437302,2.5596863395516074
2023-12-11,4,0.49,0.65,0.6966127065834827,0.7776698553658298,2.0653215528394604
2024-06-11,4,0.49,0.65,0.8590585440625499,0.7894192422731805,-0.4222610562485964
2024-12-11,0,0.45,0.7,0.8696782786886635,0.8975129834114859,-0.12627579868651925
2025-06-11,0,0.45,0.7,0.625881504189492,0.8947105240691278,1.040119557369722
2025-12-11,4,0.48,0.65,0.4523359228682908,0.7910626535626535,-0.5125561262599838
