asset,raw_data_start_date,raw_data_end_date,feature_start_date,feature_end_date,merged_dataset_start_date,merged_dataset_end_date,first_possible_oos_date,can_match_spy_oos_start,gap_vs_spy_oos_start_days,issue_flag,issue_reason
IVV,2000-05-19,2026-04-10,2000-05-19,2026-04-10,2000-08-15,2026-04-10,2015-08-17,False,2667.0,ok,raw history too short
IJH,2000-05-26,2026-04-10,2000-05-26,2026-04-10,2000-08-22,2026-04-10,2015-08-24,False,2674.0,ok,raw history too short
IWM,2000-05-26,2026-04-10,2000-05-26,2026-04-10,2000-08-22,2026-04-10,2015-08-24,False,2674.0,ok,raw history too short
EFA,2001-08-27,2026-04-10,2001-08-27,2026-04-10,2001-11-27,2026-04-10,2016-11-28,False,3136.0,ok,raw history too short
EEM,2003-04-14,2026-04-10,2003-04-14,2026-04-10,2003-07-10,2026-04-10,2018-07-10,False,3725.0,ok,raw history too short
AGG,2003-09-29,2026-04-10,2003-09-29,2026-04-10,2003-12-23,2026-04-10,2018-12-24,False,3892.0,ok,raw history too short
SPTL,2007-05-30,2026-04-10,2007-05-30,2026-04-10,2007-08-23,2026-04-10,2022-08-23,False,5230.0,ok,raw history too short
HYG,2007-04-11,2026-04-10,2007-04-11,2026-04-10,2007-07-06,2026-04-10,2022-07-06,False,5182.0,ok,raw history too short
SPBO,2011-04-07,2026-04-10,2011-04-07,2026-04-10,2011-07-05,2026-04-10,,False,,insufficient,raw history too short
IYR,2000-06-19,2026-04-10,2000-06-19,2026-04-10,2000-09-13,2026-04-10,2015-09-14,False,2695.0,ok,raw history too short
DBC,2006-02-06,2026-04-10,2006-02-06,2026-04-10,2006-05-03,2026-04-10,2021-05-03,False,4753.0,ok,raw history too short
GLD,2004-11-18,2026-04-10,2004-11-18,2026-04-10,2005-02-15,2026-04-10,2020-02-18,False,4313.0,ok,raw history too short
