category,days,share_of_days,avg_position,avg_future_20d_buy_and_hold_return,avg_future_20d_strategy_return,avg_future_60d_buy_and_hold_return,avg_future_60d_strategy_return,corr_position_future_20d_buy_and_hold_return,corr_position_future_60d_buy_and_hold_return,version
overall,6454,1.0,0.6504493337465138,0.007198028407146062,0.006194304810924955,0.021762184432393094,0.018963375272666935,,,fixed_rising_floor_052
bull_market,4746,0.735357917570499,0.8240623683101559,0.008438373138676193,0.00652615520971109,0.026012275201651246,0.018744800197751498,,,fixed_rising_floor_052
bear_market,1708,0.2646420824295011,0.1680327868852459,0.0037329615805011505,0.005267236892617929,0.009989232525568348,0.01956883854032771,,,fixed_rising_floor_052
signal_zone_bull,3392,0.5255655407499226,1.0,0.008302295791594269,0.007711355381310489,0.025732693712115926,0.01938645350246727,,,fixed_rising_floor_052
signal_zone_hold,906,0.14037806011775644,0.8896247240618101,0.004678231943852631,0.003723253032956707,0.021994442045689823,0.01601855672318362,,,fixed_rising_floor_052
signal_zone_bear,2156,0.33405639913232105,0.0,0.006513225330224489,0.004833320436435955,0.01531601077586999,0.019532533566794068,,,fixed_rising_floor_052
overall_position_future_return_relation,6454,1.0,0.6504493337465138,0.007198028407146062,0.006194304810924955,0.021762184432393094,0.018963375272666935,0.006317994923427928,0.05721893042446809,fixed_rising_floor_052
overall,6454,1.0,0.5849085838239851,0.00719802840714606,0.004772184689080431,0.021762184432393094,0.014429962010377242,,,current_baseline
bull_market,4746,0.735357917570499,0.7532659081331647,0.008438373138676193,0.004984392219748664,0.026012275201651246,0.013954000686800569,,,current_baseline
bear_market,1708,0.2646420824295011,0.117096018735363,0.0037329615805011492,0.004179354924749014,0.009989232525568343,0.01574839732769044,,,current_baseline
signal_zone_bull,3351,0.5192128912302448,1.0,0.007415266997563243,0.00586203309129127,0.02420876543288615,0.01345992916609754,,,current_baseline
signal_zone_hold,863,0.13371552525565542,0.49130938586326767,0.009099393922551791,0.003790549510721519,0.03156790243956794,0.016978203508631873,,,current_baseline
signal_zone_bear,2240,0.3470715835140998,0.0,0.0061309811295410495,0.0035087023301233226,0.014257165229959049,0.014915342547789251,,,current_baseline
overall_position_future_return_relation,6454,1.0,0.5849085838239851,0.00719802840714606,0.004772184689080431,0.021762184432393094,0.014429962010377242,0.01110128284404504,0.05121449165088613,current_baseline
