rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,selected_rising_entry_floor,validation_sharpe,validation_balanced_accuracy,oos_sharpe
2000-05-26,4,0.47,0.67,0.49,0.5903258536697082,0.8006789841352746,-1.604775923164408
2000-11-27,4,0.47,0.67,0.51,0.24404788340782713,0.7839458115978835,0.49397114260515224
2001-05-29,8,0.48,0.67,0.53,0.4667482868432633,0.7431254837068298,0.42716598571236036
2001-11-29,8,0.48,0.67,0.53,0.11060787137926471,0.7216023442291529,-0.604031494125276
2002-05-29,8,0.47,0.67,0.53,0.25766556383677774,0.7096633525204954,-0.6126083504928225
2002-11-29,12,0.45,0.67,0.5,-0.03480562706708049,0.6511883273164861,-0.6215377514063135
2003-05-29,8,0.5,0.67,0.53,-0.4533313253481291,0.6603172652513646,1.2031055004653528
2003-12-01,12,0.5,0.67,0.49,-0.047085704135894454,0.7206325301204819,0.8410620299736286
2004-06-01,12,0.5,0.67,0.53,0.24826432341049556,0.7433568677792042,0.4574882122086938
2004-12-01,12,0.5,0.67,0.53,0.32855038106063356,0.7559732175291437,-0.4688965304505012
2005-06-01,12,0.5,0.67,0.53,0.3131982128918566,0.7476045985217878,0.06876936302619174
2005-12-01,12,0.49,0.67,0.51,0.7346990745912358,0.7397404560512013,-0.3129609966696659
2006-06-01,12,0.49,0.67,0.51,0.7437086434822474,0.7222396681238585,2.6586977907886955
2006-12-01,12,0.46,0.67,0.49,0.6920636928795901,0.6663882554665818,0.9350273101364177
2007-06-01,12,0.46,0.67,0.5,0.7869022732761194,0.6446440516005734,-1.4907372694962817
2007-12-03,8,0.48,0.67,0.48,0.3539485325728501,0.7289704399441648,0.03606995884706665
2008-06-03,8,0.48,0.67,0.48,0.3246258202751943,0.7554909560723514,0.0
2008-12-03,8,0.47,0.67,0.48,0.19073078838305946,0.7901063486948114,1.601301511546892
2009-06-03,8,0.47,0.67,0.51,0.6414472645345163,0.8112422892598896,2.1197145759253884
2009-12-03,8,0.48,0.67,0.5,0.7558424750966709,0.8175061263341232,0.17547568942500746
2010-06-03,8,0.48,0.67,0.5,0.7090678533263292,0.818221175632809,1.4233868891106995
2010-12-03,8,0.5,0.67,0.53,0.9194331076552903,0.8170614970035797,1.4462606830935922
2011-06-03,8,0.49,0.67,0.53,0.9431507108347652,0.8089727648309334,-1.2807667743996347
2011-12-05,4,0.46,0.67,0.48,0.6569502068918915,0.8413643496722976,0.9858144919211359
2012-06-05,4,0.46,0.67,0.53,0.8229837650090807,0.8335298742138365,0.12849043250018424
2012-12-05,4,0.46,0.67,0.53,0.9078585742115961,0.7908094191801496,2.8784393989294026
2013-06-05,4,0.46,0.67,0.53,0.9590045787392493,0.7604932170303196,0.39754257744647964
2013-12-05,4,0.46,0.67,0.48,0.9008198188945715,0.7686633906395057,0.533383005753312
2014-06-05,4,0.46,0.67,0.48,0.8959043128802185,0.7576261701261702,1.2076523652564763
2014-12-05,12,0.45,0.67,0.51,0.9602162282858324,0.6531796769851952,0.37393724634525977
2015-06-05,12,0.45,0.67,0.51,0.8604067110795338,0.633946971756159,-0.8479875227810169
2015-12-07,12,0.47,0.67,0.48,1.0076539661860964,0.6186915218147944,0.35469749106766196
2016-06-07,12,0.47,0.67,0.48,0.955796061401805,0.637916764613697,0.5436820178571368
2016-12-07,12,0.47,0.67,0.48,0.975177168622793,0.6168201659945973,2.5304243114256058
2017-06-07,12,0.47,0.67,0.48,0.9015499137615809,0.6165984153832458,2.4589736536072224
2017-12-07,12,0.48,0.67,0.48,0.9456669017007915,0.6505256648113791,0.09709166729489808
2018-06-07,12,0.48,0.67,0.48,0.7040465026375267,0.6668948482034295,-0.4544055995343282
2018-12-07,12,0.5,0.67,0.53,0.6596733044942477,0.6813074352548036,0.6168361399985357
2019-06-07,8,0.47,0.67,0.49,0.7809428465349525,0.7387493085008298,0.6555815372277386
2019-12-09,0,0.45,0.66,0.5,1.0031394241321665,0.8640667454079723,1.7256144248771548
2020-06-09,0,0.45,0.67,0.5,1.0004646484743036,0.8610087562898688,0.19907871619467649
2020-12-09,0,0.45,0.67,0.5,0.9578277438329106,0.8729472774416595,1.7581124426023942
2021-06-09,0,0.45,0.67,0.5,0.976253027405046,0.8623686914820735,1.390711038351871
2021-12-09,0,0.46,0.67,0.5,1.023330434398714,0.8740246180899,-1.0395409142438345
2022-06-09,0,0.47,0.67,0.53,0.9693539511625054,0.8878845755872107,-1.393472141659189
2022-12-09,4,0.48,0.67,0.49,0.6588422682403977,0.8011126767002922,0.2772132381772441
2023-06-09,8,0.5,0.67,0.52,0.5677632624733717,0.740977344573235,0.9093695103777842
2023-12-11,4,0.49,0.67,0.52,0.7800501177293196,0.7905987789349962,2.5011741195137396
2024-06-11,4,0.49,0.67,0.52,0.8675956073349951,0.8038135593220339,-0.07846869257191573
2024-12-11,4,0.49,0.67,0.52,0.7539886976032713,0.8041374644952015,0.17977110013427358
2025-06-11,4,0.49,0.67,0.52,0.48482730472172536,0.8098984059614844,1.7844702405437314
2025-12-11,4,0.48,0.67,0.53,0.6326339881339254,0.8091932841932843,-1.5924884609532242
