jump_penalty,split,mean_bull_cagr,mean_bear_cagr,mean_cagr_spread_bull_minus_bear,median_cagr_spread_bull_minus_bear,mean_bull_sortino,mean_bear_sortino,mean_sortino_spread_bull_minus_bear,median_sortino_spread_bull_minus_bear,mean_bull_days,mean_bear_days,n_windows
0.0,oos,2.440380687792054,-0.5250234773907185,2.9654041651827727,1.3496578622573034,15.708624577409223,-4.764225250578961,20.51693015137669,17.361335627642156,72.13461538461539,53.0,52
0.0,train,0.9010067543428395,-0.4838382789037708,1.3848450332466102,1.3958366136485099,11.759962735312989,-3.5350654425357018,15.29502817784869,14.958118242606297,1507.0961538461538,1150.7115384615386,52
0.0,validation,1.1144864492070998,-0.5208655425490539,1.6353519917561536,1.4671361460358772,12.915203591027204,-3.746901371969528,16.662104962996732,15.85912889851782,574.4230769230769,431.6923076923077,52
5.0,oos,0.31277004809191505,-0.067337851354198,0.37018212911277715,0.361229928003026,3.542758317730949,-0.1026789715968436,3.574025378476684,3.6859892704685797,73.09615384615384,52.03846153846154,52
5.0,train,0.2976740267543629,-0.16502186163826568,0.4626958883926286,0.4720053702530366,3.6249797213776422,-0.808346272896143,4.433325994273786,4.345372764338048,1526.3076923076924,1131.5,52
5.0,validation,0.31630408532833154,-0.1712902374349069,0.4875943227632384,0.47535907510597014,3.478381813539194,-0.7993407982692138,4.277722611808408,4.3351874268548745,580.4038461538462,425.71153846153845,52
10.0,oos,0.6723417653103385,0.09124627821018104,0.5902555140239899,0.0903419517447217,1.818207466454648,1.1472695098471208,0.3289376215242345,0.705347859481364,72.71153846153847,52.42307692307692,52
10.0,train,0.19713852630742812,-0.06932447549692645,0.26646300180435456,0.25322151891792466,2.369897704011709,-0.16156969492935472,2.5314673989410634,2.41083490609798,1528.576923076923,1129.2307692307693,52
10.0,validation,0.1957201726751168,-0.04871245063187471,0.2444326233069915,0.24750456618662103,2.1139356173173773,-0.0036746046000476784,2.117610221917425,2.17725487944196,581.7692307692307,424.34615384615387,52
15.0,oos,0.1250503555185155,0.24953008493505244,-0.17322413140445617,-0.10908361414647927,1.3347855316306676,2.1404547937070735,-1.2454382376219362,-0.7156635340034647,72.6923076923077,52.44230769230769,52
15.0,train,0.1635256085237133,-0.043933283117028966,0.2074588916407423,0.17048565388617987,1.9186922271618012,0.025354967915413473,1.893337259246388,1.9701859076908603,1565.25,1092.5576923076924,52
15.0,validation,0.14431367679580553,-0.0075628174532010655,0.1518764942490066,0.1356243804719418,1.549842148756281,0.24852301297895354,1.3013191357773275,1.2429110563831065,587.5961538461538,418.5192307692308,52
20.0,oos,0.2158394011537439,0.5333450545360332,-0.35075491908825357,-0.03816600030159545,1.8604529471472446,7.363576932573988,-5.999582928294858,-0.513557091427994,73.6923076923077,51.44230769230769,52
20.0,train,0.15200166121708075,-0.031196683915086607,0.18319834513216737,0.20249883944992653,1.7810301450023167,0.09604926057936894,1.6849808844229477,1.7055633865816144,1591.3653846153845,1066.4423076923076,52
20.0,validation,0.12360027726651746,0.013714832116723847,0.1098854451497936,0.09708028664252055,1.3540124838231913,0.33717717789103563,1.0168353059321558,1.0088334821172147,595.6923076923077,410.4230769230769,52
