rebalance_date,accuracy,f1,balanced_accuracy
2000-05-26,0.8492063492063492,0.5581395348837209,0.7156862745098039
2000-11-27,0.8790322580645161,0.7457627118644068,0.8793939393939394
2001-05-29,0.9354838709677419,0.7894736842105263,0.8930817610062893
2001-11-29,0.8934426229508197,0.6976744186046512,0.7780448717948718
2002-05-29,0.828125,0.5925925925925926,0.7357142857142858
2002-11-29,0.6557377049180327,0.5882352941176471,0.6456043956043955
2003-05-29,0.828125,0.8888888888888888,0.7614285714285715
2003-12-01,0.7903225806451613,0.8586956521739131,0.7107797452625039
2004-06-01,0.7380952380952381,0.8,0.7040816326530612
2004-12-01,0.7580645161290323,0.7727272727272727,0.7570532915360502
2005-06-01,0.7795275590551181,0.8205128205128205,0.7723404255319148
2005-12-01,0.7560975609756098,0.8421052631578947,0.641640866873065
2006-06-01,0.8818897637795275,0.9152542372881356,0.8913662239089184
2006-12-01,0.8770491803278688,0.9261083743842364,0.7857843137254902
2007-06-01,0.6929133858267716,0.6486486486486487,0.695046439628483
2007-12-03,0.7580645161290323,0.5161290322580645,0.6642857142857144
2008-06-03,0.9448818897637795,0.0,0.5
2008-12-03,0.8861788617886179,0.8541666666666666,0.8731040086673889
2009-06-03,0.84251968503937,0.9145299145299145,0.5
2009-12-03,0.7479674796747967,0.8359788359788359,0.6384036144578313
2010-06-03,0.7559055118110236,0.7973856209150327,0.765197152245345
2010-12-03,0.8629032258064516,0.9264069264069265,0.5
2011-06-03,0.7244094488188977,0.5783132530120482,0.6806226516371443
2011-12-05,0.8467741935483871,0.9045226130653267,0.7205882352941176
2012-06-05,0.728,0.7926829268292683,0.7112403100775193
2012-12-05,0.9512195121951219,0.975,0.5
2013-06-05,0.7952755905511811,0.8712871287128713,0.6807407407407408
2013-12-05,0.7967479674796748,0.8792270531400966,0.6054292929292929
2014-06-05,0.8110236220472441,0.883495145631068,0.6711822660098522
2014-12-05,0.6422764227642277,0.7708333333333334,0.520639534883721
2015-06-05,0.6535433070866141,0.5217391304347826,0.6514136904761905
2015-12-07,0.7338709677419355,0.7591240875912408,0.7313570487483532
2016-06-07,0.7559055118110236,0.8426395939086294,0.6367867867867868
2016-12-07,0.975609756097561,0.9876543209876543,0.5
2017-06-07,0.9291338582677166,0.963265306122449,0.5
2017-12-07,0.7073170731707317,0.7721518987341772,0.6827697262479872
2018-06-07,0.8095238095238095,0.8604651162790697,0.766025641025641
2018-12-07,0.7073170731707317,0.7567567567567568,0.6982082866741322
2019-06-07,0.7952755905511811,0.8631578947368421,0.7202719797596457
2019-12-09,0.7903225806451613,0.8243243243243243,0.7931995540691192
2020-06-09,0.6614173228346457,0.7329192546583851,0.6515804597701149
2020-12-09,0.8780487804878049,0.927536231884058,0.7904761904761904
2021-06-09,0.8976377952755905,0.9333333333333333,0.8449260752688172
2021-12-09,0.9112903225806451,0.8070175438596491,0.90149136577708
2022-06-09,0.8888888888888888,0.8292682926829268,0.8592592592592592
2022-12-09,0.7560975609756098,0.7580645161290323,0.7570180084745763
2023-06-09,0.873015873015873,0.8805970149253731,0.8791293213828425
2023-12-11,0.9274193548387096,0.9569377990430622,0.8883647798742138
2024-06-11,0.8412698412698413,0.898989898989899,0.7518663348738002
2024-12-11,0.8278688524590164,0.8,0.8361486486486487
2025-06-11,0.8809523809523809,0.933920704845815,0.6441441441441441
2025-12-11,0.7682926829268293,0.7397260273972602,0.7764378478664193
